rep,var,wregime,das,depth,wexr,rld,RLD100
2,MOROB,STRESS,83,15,1.137414,0.666895,66.6895
2,MOROB,STRESS,83,25,0.908164,0.8436,84.36
2,MOROB,STRESS,83,35,0.833952,0.94161,94.161
2,MOROB,STRESS,83,45,0.928866,0.765715,76.5715
2,MOROB,STRESS,83,55,0.710653,0.33911,33.911
2,MOROB,STRESS,83,65,0.67417,0.60319,60.319
2,MOROB,STRESS,90,5,0.247952,0.18212,18.212
2,MOROB,STRESS,90,15,0.677056,0.491595,49.1595
2,MOROB,STRESS,90,25,1.008946,0.50982,50.982
2,MOROB,STRESS,90,35,1.13731,0.588925,58.8925
2,MOROB,STRESS,90,45,1.222988,0.83381,83.381
2,MOROB,STRESS,90,55,1.098104,0.35703,35.703
2,MOROB,STRESS,90,65,1.278721,0.39388,39.388
3,MOROB,STRESS,14,5,0.104612,0.087985,8.7985
3,MOROB,STRESS,14,15,0.108076,0.042665,4.2665
3,MOROB,STRESS,14,25,0.315515,0.069865,6.9865
3,MOROB,STRESS,14,35,0.254417,0.128845,12.8845
3,MOROB,STRESS,14,45,0.236739,0.13322,13.322
3,MOROB,STRESS,14,55,0.281169,0.25408,25.408
3,MOROB,STRESS,14,65,0.358642,0.07728,7.728
3,MOROB,STRESS,21,5,0.278473,0.32526,32.526
3,MOROB,STRESS,21,15,0.111632,0.385065,38.5065
3,MOROB,STRESS,21,25,0.098643,0.15973,15.973
3,MOROB,STRESS,21,35,0.116089,0.303235,30.3235
3,MOROB,STRESS,21,45,0.119876,0.1953,19.53
3,MOROB,STRESS,21,55,0.137926,0.4799,47.99
3,MOROB,STRESS,21,65,0.094259,0.25134,25.134
3,MOROB,STRESS,35,5,0.914257,0.811475,81.1475
3,MOROB,STRESS,35,15,0.824468,0.90243,90.243
3,MOROB,STRESS,35,25,0.888677,0.92042,92.042
3,MOROB,STRESS,35,35,0.858881,0.794325,79.4325
3,MOROB,STRESS,35,45,0.465287,1.34021,134.021
3,MOROB,STRESS,35,55,0.515923,0.812745,81.2745
3,MOROB,STRESS,35,65,0.547793,0.37639,37.639
3,MOROB,STRESS,42,5,0.78199,0.535425,53.5425
3,MOROB,STRESS,42,15,0.650723,0.91974,91.974
3,MOROB,STRESS,42,25,1.010906,0.86428,86.428
3,MOROB,STRESS,42,35,1.096407,0.756565,75.6565
3,MOROB,STRESS,42,45,0.608533,1.060735,106.0735
3,MOROB,STRESS,42,55,0.633585,0.97244,97.244
3,MOROB,STRESS,42,65,0.642025,1.47716,147.716
3,MOROB,STRESS,49,5,0.62087,0.1084,10.84
3,MOROB,STRESS,49,15,0.548822,0.456965,45.6965
3,MOROB,STRESS,49,25,0.714946,0.196495,19.6495
3,MOROB,STRESS,49,35,0.747971,0.189025,18.9025
3,MOROB,STRESS,49,45,1.261149,0.72489,72.489
3,MOROB,STRESS,49,55,1.064502,0.50834,50.834
3,MOROB,STRESS,49,65,1.202754,0.80408,80.408
3,MOROB,STRESS,62,5,0.415176,0.067405,6.7405
3,MOROB,STRESS,62,15,0.41365,0.252935,25.2935
3,MOROB,STRESS,62,25,0.420937,0.222255,22.2255
3,MOROB,STRESS,62,35,0.437326,1.07941,107.941
3,MOROB,STRESS,62,45,0.455706,0.7081,70.81
3,MOROB,STRESS,62,55,0.436235,0.983425,98.3425
3,MOROB,STRESS,62,65,0.563797,0.76996,76.996
3,MOROB,STRESS,69,5,0.689754,0.418515,41.8515
3,MOROB,STRESS,69,15,1.200317,0.75326,75.326
3,MOROB,STRESS,69,25,0.541683,0.68585,68.585
3,MOROB,STRESS,69,35,-0.068218,0.647265,64.7265
3,MOROB,STRESS,69,45,0.156963,1.26876,126.876
3,MOROB,STRESS,69,55,1.479285,1.412875,141.2875
3,MOROB,STRESS,69,65,1.263325,1.20485,120.485
3,MOROB,STRESS,83,5,0.941429,0.541785,54.1785
3,MOROB,STRESS,83,15,1.535965,0.760825,76.0825
3,MOROB,STRESS,83,25,1.298209,1.32023,132.023
3,MOROB,STRESS,83,35,1.13815,0.884165,88.4165
3,MOROB,STRESS,83,45,0.648363,1.32415,132.415
3,MOROB,STRESS,83,55,0.505268,1.622495,162.2495
3,MOROB,STRESS,83,65,0.778894,1.07723,107.723
3,MOROB,STRESS,90,5,0.154856,0.106725,10.6725
3,MOROB,STRESS,90,15,0.422425,0.32083,32.083
3,MOROB,STRESS,90,25,0.863907,0.7348,73.48
3,MOROB,STRESS,90,35,1.134546,0.64158,64.158
3,MOROB,STRESS,90,45,1.077682,0.66568,66.568
3,MOROB,STRESS,90,55,0.975682,0.88895,88.895
3,MOROB,STRESS,90,65,1.106032,0.86674,86.674
4,MOROB,WWATER,14,5,0.185836,0.186445,18.6445
4,MOROB,WWATER,14,15,0.187412,0.067005,6.7005
4,MOROB,WWATER,14,25,0.214986,0.04255,4.255
4,MOROB,WWATER,14,35,0.298628,0.02548,2.548
4,MOROB,WWATER,14,45,0.249413,0.16198,16.198
4,MOROB,WWATER,14,55,0.260848,0.18927,18.927
4,MOROB,WWATER,14,65,0.438188,0.10651,10.651
4,MOROB,WWATER,21,5,0.19367,0.217705,21.7705
4,MOROB,WWATER,21,15,0.171926,0.283175,28.3175
4,MOROB,WWATER,21,25,0.171977,0.091465,9.1465
4,MOROB,WWATER,21,35,0.171707,0.07819,7.819
4,MOROB,WWATER,21,45,0.143752,0.250465,25.0465
4,MOROB,WWATER,21,55,0.13261,0.3058,30.58
4,MOROB,WWATER,21,65,0.165059,0.32638,32.638
4,MOROB,WWATER,35,5,1.571313,0.358605,35.8605
4,MOROB,WWATER,35,15,1.104755,0.609275,60.9275
4,MOROB,WWATER,35,25,1.031371,0.69145,69.145
4,MOROB,WWATER,35,35,0.923543,0.880765,88.0765
4,MOROB,WWATER,35,45,0.20506,0.45454,45.454
4,MOROB,WWATER,35,55,0.718822,0.178505,17.8505
4,MOROB,WWATER,35,65,0.575764,0.04762,4.762
4,MOROB,WWATER,42,5,-0.427611,0.12648,12.648
4,MOROB,WWATER,42,15,1.181742,0.76352,76.352
4,MOROB,WWATER,42,25,0.640499,1.13942,113.942
4,MOROB,WWATER,42,35,1.306746,1.392945,139.2945
4,MOROB,WWATER,42,45,0.56274,0.61658,61.658
4,MOROB,WWATER,42,55,0.862724,0.438435,43.8435
4,MOROB,WWATER,42,65,0.797099,0.86072,86.072
4,MOROB,WWATER,49,5,0.342957,0.301005,30.1005
4,MOROB,WWATER,49,15,0.486054,0.916775,91.6775
4,MOROB,WWATER,49,25,0.259045,1.151205,115.1205
