Obs,TRT,ENTNO,NAME,Rep,DTF,HT,GY,TDMY,HI,F10,Trial,Env
829,S,e44,IR81024-B-275-3-B,1,82,104.667,3724.15,7919.83,41.6907,,C,SC
1827,C,e26,IR71700-247-1-1,3,66,93.667,3725.62,9253.33,35.6967,,G,CG
2127,C,e26,IR71700-247-1-1,3,66,93.667,3725.62,9253.33,35.6967,,H,CH
390,C,e43,IR79906-B-192-2-1,3,81,106.667,3725.67,12828.33,29.0425,,B,CB
1538,C,e30,IR75870-8-1-2-B-6-2-B-B-B,2,84,124,3727.96,10222.87,32.3315,,F,CF
868,C,e7,DGI-196,1,77,107.667,3730.48,9540.37,34.6678,,D,CD
864,C,e5,D6-547-5S,3,84,103,3733.81,13330.33,24.8335,,D,CD
2758,C,e37,IR78905-105-1-2-2,1,71,119,3735.5,11164.02,33.4601,,J,CJ
882,C,e11,DK108,3,82,109,3735.57,7746.88,42.752,,D,CD
100,C,e42,IR78910-34-B-2-2,1,.,108.533,3735.94,9524.97,39.2225,,A,CA
2396,C,e16,DK135,2,70,90.667,3736.68,6947.53,53.7842,,I,CI
53,C,e26,IR71700-247-1-1,2,81,90.367,3738.26,7805.34,47.8937,,A,CA
2900,S,e34,IR77298-5-6-18,2,80,117.667,3738.47,9975.59,37.4762,,J,SJ
1217,C,e23,DSU-4-18,2,76,88.667,3739.63,7341.82,45.1598,,E,CE
1865,C,e39,IR78908-156-B-2-B,2,66,122.333,3740.67,8730.67,37.9864,,G,CG
2165,C,e39,IR78908-156-B-2-B,2,66,122.333,3740.67,8730.67,37.9864,,H,CH
1528,C,e27,IR74371-46-1-1,1,75,138.333,3741.19,9373.26,35.3871,,F,CF
1825,C,e26,IR71700-247-1-1,1,68,103.167,3741.59,9074.22,36.5572,,G,CG
2125,C,e26,IR71700-247-1-1,1,68,103.167,3741.59,9074.22,36.5572,,H,CH
279,C,e5,D6-547-5S,3,84,89,3741.87,10606.13,35.2802,,B,CB
1256,C,e36,IR78877-163-B-1-1,2,64,94.333,3744.72,8973.72,36.9975,,E,CE
2731,C,e28,IR74371-54-1-1,1,71,125.667,3747.62,6837.83,54.8071,,J,CJ
2708,C,e20,DK167,2,90,118,3748.43,11228.89,33.3821,,J,CJ
957,C,e36,IR78877-163-B-1-1,3,74,121.333,3749.02,8473.87,39.2249,,D,CD
1052,S,e18,DK142,2,79,97,3752.31,8630.66,38.5462,,D,SD
363,C,e34,IR77298-5-6-18,3,68,95.667,3754.13,11052.27,33.9671,,B,CB
603,C,e18,DK142,3,80,108.733,3754.49,7623.39,43.6646,,C,CC
1558,C,e37,IR78905-105-1-2-2,1,70,129,3755.22,9429.37,35.3085,,F,CF
2841,S,e14,DK122,3,75,106.667,3756.73,8775.25,42.8106,,J,SJ
404,C,e48,PSBRC68,2,69,118,3758.2,14501.53,25.9159,,B,CB
2856,S,e19,DK157,3,75,117,3759.61,11935.4,31.4997,,J,SJ
292,C,e11,DK108,1,81,97,3759.8,8861.73,42.4274,,B,CB
2782,C,e45,IR81025-B-425-B,1,64,128,3760.36,7097.53,52.9813,,J,CJ
978,C,e43,IR79906-B-192-2-1,3,84,129.333,3761.59,11787.69,28.2924,,D,CD
823,S,e42,IR78910-34-B-2-2,1,73,114.467,3762.84,8522.12,39.1466,,C,SC
982,C,e45,IR81025-B-425-B,1,71,125,3764.82,8774.88,38.039,,D,CD
1767,C,e6,DA8,3,68,107,3765.95,7153.42,46.6754,,G,CG
2067,C,e6,DA8,3,68,107,3765.95,7153.42,46.6754,,H,CH
950,C,e34,IR77298-5-6-18,2,84,115,3770.8,9903.05,33.7591,,D,CD
2438,C,e30,IR75870-8-1-2-B-6-2-B-B-B,2,75,91,3772.45,7344.98,51.361,,I,CI
2677,C,e10,DK106,1,71,115.333,3774.99,10425.03,36.2108,,J,CJ
1021,S,e8,DGI-32,1,81,91.333,3775.73,8724.22,38.3708,,D,SD
794,S,e32,IR77298-14-1-2-1,2,79,85,3776.08,8983.19,37.268,,C,SC
2798,C,e50,URI,2,83,156.333,3776.29,13296.85,28.3999,,J,CJ
403,C,e48,PSBRC68,1,100,112.667,3776.67,12444.87,30.3472,,B,CB
2440,C,e31,IR77298-14-1-2,1,73,109.333,3776.9,8630.86,43.7604,,I,CI
893,C,e15,DK124,2,91,110.667,3777.86,9039.37,37.0539,,D,CD
2405,C,e19,DK157,2,73,94.667,3781.47,7285.11,51.9068,,I,CI
2696,C,e16,DK135,2,78,109.667,3781.77,9488.91,39.8547,,J,CJ
2674,C,e9,DGI-81,1,81.5,118,3781.85,9835.72,39.0467,,J,CJ
2889,S,e30,IR75870-8-1-2-B-6-2-B-B-B,3,87,121.333,3782.55,9225.94,40.9991,,J,SJ
2726,C,e26,IR71700-247-1-1,2,69,152,3782.58,12525.89,30.1981,,J,CJ
1598,C,e50,URI,2,80,112.333,3782.77,9980.19,33.6045,,F,CF
1687,S,e30,IR75870-8-1-2-B-6-2-B-B-B,1,86,114.5,3782.83,11067.38,30.3039,,F,SF
1271,C,e41,IR78910-23-1-3-3,2,64,110.333,3782.9,8534.05,39.3004,,E,CE
